alert_code,cse_code,asset_code,severity,category,title,description,created_time,acknowledged_time,closed_time,status,disposition,analyst
ALT-2201,CSE-07,TR-OPS-03,HIGH,brute-force,Repeated authentication failures on SCADA gateway,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-14T11:39:00+05:30,,,OPEN,,
ALT-2202,CSE-05,EN-SCADA-04,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Periodic low-volume outbound connections at fixed intervals,2026-07-18T17:22:00+05:30,2026-07-18T17:43:00+05:30,2026-07-18T18:34:00+05:30,CLOSED,Patched and verified,
ALT-2203,CSE-07,,MEDIUM,xss,Cross-site scripting vector identified in operator console,Web application firewall flagged embedded script tags in input fields,2026-07-15T09:38:00+05:30,2026-07-15T09:50:00+05:30,2026-07-15T15:07:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,A. Sharma
ALT-2204,CSE-03,TR-OPS-03,MEDIUM,port-scan,SYN sweep detected across substation network segment,Half-open SYN packets rapidly received across 1-1024 port range,2026-08-04T14:40:00+05:30,2026-08-04T14:43:00+05:30,,IN_PROGRESS,,
ALT-2205,CSE-04,TR-OPS-03,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Persistent TLS session established to unclassified external endpoint,2026-08-05T06:50:00+05:30,2026-08-05T07:10:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2206,CSE-07,EN-SCADA-04,HIGH,brute-force,SSH credential brute force against engineering server,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-18T17:31:00+05:30,,,OPEN,,
ALT-2207,CSE-04,ENG-WRK-07,HIGH,sql-injection,Malformed query string on engineering portal,Time-delay SQL injection signature matched in asset query request,2026-07-20T06:51:00+05:30,,,OPEN,,
ALT-2208,CSE-02,RTU-SUB-01,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,Time-delay SQL injection signature matched in asset query request,2026-08-02T11:35:00+05:30,2026-08-02T11:58:00+05:30,,ACKNOWLEDGED,,S. Verma
ALT-2209,CSE-01,RTU-SUB-01,CRITICAL,brute-force,SSH credential brute force against engineering server,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-17T17:41:00+05:30,2026-07-17T18:05:00+05:30,2026-07-17T23:48:00+05:30,CLOSED,Patched and verified,
ALT-2210,CSE-04,GATEWAY-DMZ-01,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Traffic contained a known exploit signature targeting unpatched software,2026-08-02T16:24:00+05:30,2026-08-02T16:34:00+05:30,2026-08-03T00:27:00+05:30,CLOSED,Source IP null-routed at edge firewall,S. Verma
